City,Temperature (F),Latitude,Longitude,Humidity,Cloudiness (%),Wind Speed (mph)
nongan,69.8,44.43,125.17,73,20,8.95
steamboat springs,72.16,40.48,-106.83,3,1,4.7
khonsar,,,,,,
alice town,84.63,25.72,-79.3,99,64,21.94
arteaga,77,25.45,-100.85,65,75,11.41
erzin,77.29,36.95,36.2,83,0,4.7
lyuban,54.66,52.8,28,80,0,4.27
porto novo,68,-23.68,-45.44,72,0,4.7
muroto,71.6,33.37,134.14,88,75,6.93
san nicolas,72.57,14.94,-88.33,95,76,1.7
honningsvag,44.31,70.98,25.97,90,0,7.74
garowe,79.95,8.41,48.48,45,20,15.68
koraput,69.78,18.81,82.72,94,88,10.42
gorontalo,81.12,0.54,123.06,64,12,4.61
el dorado,77.79,6.71,-61.64,82,88,2.37
maningrida,79.05,-12.05,134.23,76,0,6.96
ostersund,53.6,63.18,14.64,66,20,8.05
xucheng,78.69,33,118.51,92,8,5.39
louisbourg,,,,,,
scarborough,62.64,54.28,-0.41,72,48,4.7
haradok,52.41,55.46,29.99,85,0,2.82
coos bay,62.28,43.37,-124.22,64,1,28.86
baruun-urt,61.41,46.68,113.28,76,88,5.61
aldan,56.64,58.61,125.39,79,56,3.27
jertih,75.2,5.74,102.5,83,75,4.7
mme,,,,,,
panzhihua,63.93,26.59,101.72,92,80,2.59
jaypur,76.44,23.05,87.44,93,92,5.73
cascais,72.12,38.7,-9.42,73,0,6.93
krasnyy kommunar,50,51.96,55.37,53,0,4.47
apeldoorn,50.79,52.22,5.96,93,0,5.82
bolungarvik,,,,,,
verkh-chebula,48.9,56.03,87.61,97,32,2.71
lisala,71.04,2.15,21.52,97,32,2.59
sindou,72.57,10.66,-5.16,96,88,5.73
nouakchott,79.41,18.08,-15.98,100,44,16.02
yantal,49.71,56.85,105.25,86,8,4.38
itatiba,67.62,-23,-46.84,64,0,16.11
auki,69.87,12.18,6.51,98,36,4.5
kannur,71.58,11.88,75.37,98,92,1.7
ouango,73.4,4.31,22.55,100,20,2.15
zhigansk,41.79,66.77,123.37,81,92,7.4
lolua,,,,,,
thilogne,,,,,,
denpasar,77,-8.65,115.22,78,20,10.29
atikokan,65.82,48.76,-91.62,69,0,4.05
milingimbi,,,,,,
besancon,49.37,47.25,6.02,81,0,9.17
iracoubo,81.03,5.48,-53.21,78,20,6.4
udarnyy,63.66,54.34,42.86,74,88,5.73
djenne,71.04,13.91,-4.55,100,92,5.61
usinsk,49.71,66,57.56,96,68,4.94
oranjestad,84.2,12.52,-70.03,74,40,19.46
sioux lookout,69.08,50.1,-91.92,49,20,3.36
honiara,87.8,-9.43,159.96,70,20,8.05
ampanihy,66.27,-24.69,44.75,58,0,11.32
chara,69.8,39.42,22.43,56,0,9.17
rolim de moura,,,,,,
mecca,73.56,21.43,39.83,82,0,3.15
